"","entrezgene_id","ensembl_gene_id"
"54008",NA,"ENSG00000276523"
"54009",NA,"ENSG00000276524"
"54010",NA,"ENSG00000276525"
"54011",NA,"ENSG00000276527"
"54012",NA,"ENSG00000276528"
"54013",NA,"ENSG00000276529"
"54014",NA,"ENSG00000276530"
"54015",NA,"ENSG00000276531"
"54016",NA,"ENSG00000276532"
"54017",NA,"ENSG00000276533"
"54018",NA,"ENSG00000276535"
"54019",NA,"ENSG00000276538"
"54020",NA,"ENSG00000276540"
"54021",NA,"ENSG00000276542"
"54022",NA,"ENSG00000276544"
"54023",NA,"ENSG00000276545"
"54024",NA,"ENSG00000276546"
"54025",56101,"ENSG00000276547"
"54026",NA,"ENSG00000276548"
"54027",NA,"ENSG00000276550"
"54028",NA,"ENSG00000276556"
"54029",NA,"ENSG00000276557"
"54030",NA,"ENSG00000276562"
"54031",NA,"ENSG00000276563"
"54032",NA,"ENSG00000276564"
"54033",NA,"ENSG00000276566"
"54034",NA,"ENSG00000276568"
"54035",NA,"ENSG00000276569"
"54036",NA,"ENSG00000276570"
"54037",NA,"ENSG00000276571"
"54038",NA,"ENSG00000276573"
