"","gene_id","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4014","ENSG00000145331","TRMT10A",1.25011190331956,2.38880181319881,5.20090742665908,0.000263628865725451,0.00130804595630439,0.452431302485101
"4015","ENSG00000145332","KLHL8",0.592964678553214,4.57642846178466,3.6209698523795,0.00381252133126874,0.0104058072363656,-2.55160302808455
"4016","ENSG00000145335","SNCA",-1.61071419498193,0.638979103571405,-5.29247100568926,0.000228131489165793,0.00117787889932444,0.803050801655852
"4017","ENSG00000145337","PYURF",1.12196339755299,4.06527262648118,5.99502311441588,7.82299586417649e-05,0.000540025257895342,1.49349070299529
"4018","ENSG00000145349","CAMK2D",0.437990450105978,5.81257942485665,2.79868539460756,0.0168231204362609,0.0343782734247766,-4.01580190582341
"4019","ENSG00000145354","CISD2",0.90531791346265,4.52993738672401,5.21295076225796,0.000258644027622284,0.00129080764216773,0.221659884735568
"4020","ENSG00000145362","ANK2",-2.30735129181238,2.44825965588116,-7.16166960347924,1.53452795158375e-05,0.0001769869011696,3.35707884838939
"4021","ENSG00000145365","TIFA",1.04651249760437,3.35808165423285,2.64524922095164,0.0222151714005752,0.0432211873723399,-4.18930311633843
"4022","ENSG00000145388","METTL14",0.796481611782555,4.70390653684701,4.47055709984479,0.000871309659197571,0.0032479598822273,-1.04236070793331
"4023","ENSG00000145390","USP53",-0.597413847935272,5.19705757194112,-3.57875827185783,0.00411066163414906,0.0110430645269746,-2.63282087419614
"4024","ENSG00000145391","SETD7",1.03654902488206,7.20557266777791,6.97741738663986,1.96156503169459e-05,0.000208043504951367,3.02876752488068
"4025","ENSG00000145416","MARCHF1",-0.903191661582688,3.87661886969553,-3.58522912644479,0.00406344936477322,0.0109395317705695,-2.56478915145974
"4026","ENSG00000145439","CBR4",1.29008317353496,5.34527002300602,5.69700925528953,0.00012214053054901,0.000738719160487226,1.00015493758305
"4027","ENSG00000145494","NDUFS6",1.15773683299343,3.83677699542461,6.41496827321431,4.26327223377114e-05,0.00035276879617587,2.14465318938407
"4028","ENSG00000145495","MARCHF6",0.421517206569549,6.81733217916358,2.61221185492889,0.0235826364048494,0.0454014602744036,-4.25174450189052
"4029","ENSG00000145545","SRD5A1",1.85903478290024,5.80170921649042,4.97591490412919,0.000378014933636252,0.00172643243314312,-0.152684788397397
"4030","ENSG00000145555","MYO10",-0.921961105991471,6.05065369635628,-5.31754506341452,0.000219318699717052,0.00114481825254064,0.429140881747817
"4031","ENSG00000145569","OTULINL",-1.30335160379259,2.82087000368985,-5.70259916134197,0.000121110245752339,0.000734901965462128,1.18848194102047
"4032","ENSG00000145604","SKP2",1.58778210506949,4.32850549814031,4.28194102828806,0.00120037669299599,0.00417166928654263,-1.35646371338674
